lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,8.578578578578579,-1.294759351453496,1.6842110192497337,0.005070451353864608,-0.002640088486172116,0.027742534176988343
-0.9,8.588588588588589,-1.2951322376561107,1.6847014898040962,0.005109805621437173,-0.002627347962578559,0.02750055213337979
-0.9,8.598598598598599,-1.2953141559373897,1.6838072244818738,0.00512186822242151,-0.002705115673414807,0.027438827616083038
-0.9,8.608608608608609,-1.2952615574166462,1.6839685512150906,0.005156290177869868,-0.002664651598913475,0.027378071817063532
-0.9,8.618618618618619,-1.2950130534060509,1.6835466099662473,0.005092557487220913,-0.0026671632702990524,0.02741133645311205
-0.9,8.62862862862863,-1.2948184518433252,1.683805644303407,0.005106036236203704,-0.002672681560141271,0.027519476700711167
-0.9,8.63863863863864,-1.2950765504848518,1.6839081841680665,0.005104594643294663,-0.002712936305438425,0.02759852889411379
-0.9,8.64864864864865,-1.2956353809872083,1.6840541655431975,0.005143981604789763,-0.0026453179517467993,0.027633215658585987
-0.9,8.65865865865866,-1.2953099401298507,1.6840026914452992,0.005144852898961399,-0.002675790572448586,0.027619323377027
-0.9,8.66866866866867,-1.2952874832891303,1.6837553381327197,0.005136406195713536,-0.002642413487136724,0.02753817480341314
-0.9,8.67867867867868,-1.2950109991899281,1.682904616841022,0.005088346378882226,-0.0025912501943363927,0.02744345593747275
